wr_level,minute,count,avg_target_networth_diff,avg_target_networth_diff_raw,median_target_networth_diff,median_target_networth_diff_raw,min_target_networth_diff,max_target_networth_diff
65,57,15,-13430.8,-13430.8,-13028.0,-11373.0,-35134.0,-1413.0
65,58,12,-14864.17,-14864.17,-13028.0,-12030.0,-39357.0,-433.0
65,59,13,-14864.17,-12970.0,-13028.0,-11585.0,-40106.0,-579.0
65,60,12,-14864.17,-14494.67,-13028.0,-10490.5,-42520.0,-3069.0
65,61,12,-14864.17,-13520.83,-13028.0,-8731.5,-44752.0,-840.0
65,62,11,-15456.73,-15456.73,-13942.0,-13942.0,-42391.0,-3103.0
65,63,12,-15456.73,-14688.75,-13942.0,-12685.0,-41628.0,-169.0
65,64,11,-15515.0,-15515.0,-13942.0,-13251.0,-40990.0,-4542.0
65,65,9,-15515.0,-13758.33,-14062.0,-14062.0,-46134.0,-163.0
65,66,6,-15515.0,-15505.33,-14062.0,-10632.0,-36858.0,-4217.0
70,20,319,-3778.94,-3778.94,-2976.0,-2976.0,-15924.0,-5.0
70,21,324,-3822.9,-3822.9,-3231.5,-3231.5,-18155.0,-22.0
70,22,308,-4394.17,-4394.17,-3442.5,-3442.5,-20522.0,-19.0
70,23,309,-4627.84,-4627.84,-3628.0,-3628.0,-21019.0,-25.0
70,24,296,-5024.14,-5024.14,-4152.5,-4152.5,-22992.0,-5.0
70,25,293,-5219.13,-5219.13,-4282.0,-4282.0,-18508.0,-11.0
70,26,280,-5494.59,-5494.59,-4506.0,-4506.0,-20037.0,-26.0
70,27,271,-5683.37,-5683.37,-4911.0,-4911.0,-20613.0,-2.0
70,28,268,-5820.42,-5820.42,-4911.0,-4785.0,-24853.0,-11.0
70,29,246,-6093.27,-6093.27,-4911.0,-4842.0,-22162.0,-16.0
70,30,229,-6578.94,-6578.94,-5758.0,-5758.0,-23853.0,-17.0
70,31,217,-6938.68,-6938.68,-6139.0,-6139.0,-24286.0,-10.0
70,32,214,-7088.99,-7088.99,-6139.0,-6091.5,-29196.0,-24.0
70,33,209,-7323.7,-7323.7,-6139.0,-5745.0,-25257.0,-75.0
70,34,205,-7367.61,-7367.61,-6139.0,-5791.0,-26118.0,-19.0
70,35,189,-7863.26,-7863.26,-6146.0,-6146.0,-26832.0,-266.0
70,36,178,-8150.25,-8150.25,-6620.5,-6620.5,-28792.0,-131.0
