h2h_score,common_score,transitive_score,total_score,h2h_series,common_series,transitive_series,total_series,info_units,elo_radiant,elo_dire,elo_diff,elo_score,strength,confidence,period_days,decision_mode,confidence_label,radiant_win
0.0,0.0,0.0,-0.2403356194667534,0,0,0,0,0,1495.7237811946572,1531.7741241146703,-36.05034292001301,-0.2403356194667534,0.2403356194667534,0.2403356194667534,30,elo_only,низкая,0
0.0,0.0,0.0,0.26569393279679693,0,0,0,0,0,1534.0563723143741,1494.2022823948546,39.85408991951954,0.26569393279679693,0.26569393279679693,0.26569393279679693,30,elo_only,низкая,1
2.7818548561698124,0.3624429227223275,-0.053405793484337646,1.6173306385794426,2,19,5,21,21.0,1706.972159692279,1644.860218866513,62.11194082576617,0.4140796055051078,1.0,1.0,30,primary,высокая,1
0.0,0.0,0.0,-0.4572197788794074,0,0,0,0,0,1693.44625897579,1762.029225807701,-68.58296683191111,-0.4572197788794074,0.4572197788794074,0.4572197788794074,30,elo_only,низкая,0
0.0,0.0,0.0,-0.5230097776785942,0,0,0,0,0,1482.0365810464605,1560.4880476982496,-78.45146665178913,-0.5230097776785942,0.5230097776785942,0.5230097776785942,30,elo_only,средняя,0
0.0,0.0,0.0,-0.7483935235996265,0,0,0,0,0,1465.194093502135,1577.453122042079,-112.25902853994398,-0.7483935235996265,0.7483935235996265,0.7483935235996265,30,elo_only,средняя,0
0.0,0.0,0.0,0.2426783098111855,0,0,0,0,0,1552.7227712056429,1516.321024733965,36.401746471677825,0.2426783098111855,0.2426783098111855,0.2426783098111855,30,elo_only,низкая,1
-2.777444697076098,-0.3616093694504957,-0.01321633402127842,-1.7467332067312316,2,19,6,21,21.0,1634.993485858381,1716.838892700411,-81.84540684202989,-0.5456360456135326,1.0,1.0,30,primary,высокая,1
0.0,0.0,0.0,-0.5646231109790643,0,0,0,0,0,1479.5397810484324,1564.233247695292,-84.69346664685963,-0.5646231109790643,0.5646231109790643,0.5646231109790643,30,elo_only,средняя,0
0.0,0.0,0.0,-0.8648179219809526,0,0,0,0,0,1454.7158976478156,1584.4385859449585,-129.7226882971429,-0.8648179219809526,0.8648179219809526,0.8648179219809526,30,elo_only,высокая,0
-3.9917727654672013,-0.35710768777667634,-0.17522641615753168,-1.189682423482944,1,5,4,6,6.0,1513.2826940749053,1557.2802671942325,-43.99757311932717,-0.2933171541288478,0.7172486462621184,0.6666666666666666,30,primary,средняя,0
2.109207321856948,0.360714889874289,-0.05315116866031483,1.3156927330972583,2,19,5,21,21.0,1700.0413584968665,1651.7910200619256,48.250338434940886,0.3216689228996059,0.9508513954926022,1.0,30,primary,высокая,1
0.0,0.0,0.0,0.08633373317877764,0,0,0,0,0,1611.3662099486855,1598.416149971869,12.950059976816647,0.08633373317877764,0.08633373317877764,0.08633373317877764,30,elo_only,низкая,0
0.0,0.0,0.0,-0.0782524556774994,0,0,0,0,0,1599.0222457844648,1610.7601141360897,-11.737868351624911,-0.0782524556774994,0.0782524556774994,0.0782524556774994,30,elo_only,низкая,1
1.8900062324704168,0.3221035349956235,0.11944680110287546,2.1189684968066635,2,8,5,10,10.0,1738.6292631997387,1590.7841850923946,147.84507810734408,0.9856338540489605,1.0,1.0,30,primary,высокая,1
