breakdown_by,group,n,resolved_n,accuracy,avg_confidence,avg_edge
bet_side,RADIANT,15,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
bet_side,SKIP,186,0,,,
radiant_tier,3,201,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
dire_tier,3,201,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
missing_count,7,201,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
cat_invalid_count,0,201,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
anti_leakage_zeroed_count,10,201,15,0.5333333333333333,0.6744975326191793,0.17449753261917944
