bin,n,mean_pred,accuracy,mean_edge
"(0.651, 0.664]",7,0.657119854663423,0.5714285714285714,0.157119854663423
"(0.664, 0.675]",4,0.6681535932354168,0.75,0.16815359323541676
"(0.675, 0.687]",9,0.6804655168892615,0.5555555555555556,0.18046551688926155
"(0.687, 0.698]",1,0.6889394854416907,0.0,0.1889394854416907
"(0.698, 0.71]",1,0.706504396590228,1.0,0.206504396590228
"(0.71, 0.721]",0,,,
"(0.721, 0.733]",1,0.73038124450305,1.0,0.23038124450304998
"(0.733, 0.744]",1,0.7392440964928366,1.0,0.23924409649283662
"(0.744, 0.756]",0,,,
"(0.756, 0.767]",1,0.7669698927745262,1.0,0.2669698927745262
