breakdown_by,group,n,resolved_n,accuracy,avg_confidence,avg_edge
bet_side,SKIP,1,0,,,
radiant_tier,3,1,0,,,
dire_tier,3,1,0,,,
missing_count,7,1,0,,,
cat_invalid_count,0,1,0,,,
anti_leakage_zeroed_count,10,1,0,,,
