team_id,team_name,matches,mae,median_abs_error,stable_rate,avg_shared_recent,new_team_rate
8291895,tundra,450,6.9070005047,4.8187499734,0.9933333333,4.9621380846,0.0066666667
9247798,teamhryvnia,447,7.8355228585,5.2921444594,0.9977628635,4.9372197309,0.0022371365
2163,liquid,420,6.8723169299,4.9442549815,0.9976190476,4.9713603819,0.0023809524
9247354,falcons,416,7.0275268019,4.6990201401,0.9975961538,4.9903614458,0.0024038462
7119388,spirit,401,6.8649424729,4.8332042983,0.9950124688,4.9775,0.0049875312
9498970,avulus,363,7.3922536953,5.1344631525,0.9944903581,4.9226519337,0.0055096419
8261500,xtreme,360,6.3566515857,4.70141836,0.9916666667,4.9554317549,0.0083333333
8255888,betboom,356,6.5350272795,4.6834186523,0.9943820225,4.9577464789,0.0056179775
9600141,zerotenacity,353,7.6139686974,5.4497768554,0.9943342776,4.9460227273,0.0056657224
9255039,1win,346,6.9958159412,5.3890272991,0.9971098266,4.968115942,0.0028901734
9338413,mouz,333,6.85337724,4.8281633094,0.975975976,4.8584337349,0.024024024
7554697,nigmagalaxy,332,6.0590078309,3.8598426202,0.9939759036,4.9637462236,0.0060240964
9467224,aurora,329,6.8993912987,4.4758464457,0.990881459,4.9390243902,0.009118541
9572001,parivision,329,7.4238457359,5.2389935659,0.9969604863,4.9908536585,0.0030395137
8599101,gaimingladiators,325,5.6702710516,3.8020242282,0.9969230769,4.9907407407,0.0030769231
9303383,l1ga,325,7.9459076981,5.7203028093,0.9876923077,4.9043209877,0.0123076923
9303484,heroic,313,7.3355671689,4.8372722068,0.9968051118,4.9775641026,0.0031948882
8376696,onemove,301,7.0128597099,5.2933190531,0.9833887043,4.8533333333,0.0166112957
9017006,navijunior,293,6.1720387931,4.8805839852,0.9965870307,4.9691780822,0.0034129693
2586976,og,278,7.4264503633,5.1978228696,0.9856115108,4.9025270758,0.0143884892
36,natusvincere,249,7.4997189355,5.3045388178,0.9879518072,4.9233870968,0.0120481928
5014799,nemigagaming,249,7.5800533304,5.3738931068,0.9879518072,4.810483871,0.0120481928
