team_id,team_name,matches,mae,median_abs_error,stable_rate,avg_shared_recent,new_team_rate
9586122,4pirates,244,7.0212983119,4.3763677668,0.9918032787,4.9670781893,0.0081967213
7732977,boom,235,5.7927665426,4.0253785062,0.9914893617,4.9401709402,0.0085106383
9351740,invictus,216,6.9958783623,4.9037387846,0.9861111111,4.9302325581,0.0138888889
8597976,talon,212,6.4959560255,4.1928196565,0.9952830189,4.971563981,0.0047169811
9373270,nightpulse,210,8.3365007684,5.6862773848,0.9857142857,4.9186602871,0.0142857143
9403748,dragonesportsclub,199,7.5768449705,5.7377113863,0.9899497487,4.8888888889,0.0100502513
39,shopifyrebellion,196,7.018128694,4.5907118234,0.9897959184,4.9538461538,0.0102040816
9640842,tidebound,194,5.7491247011,4.5292642864,0.9948453608,4.9896373057,0.0051546392
8254145,execration,181,7.2973638496,5.5536549126,0.9944751381,4.9555555556,0.0055248619
2576071,yellowsubmarine,167,6.6395899328,4.5666930095,0.9880239521,4.8855421687,0.0119760479
9545782,ivory,165,6.03011832,4.2772923952,0.9878787879,4.9451219512,0.0121212121
8588969,hydra,160,8.1850735642,5.8977297732,0.975,4.7295597484,0.025
8728920,nouns,160,6.0275714793,4.1891099236,0.99375,5.0,0.00625
9651185,wildcard,159,5.8203234065,3.4967037697,0.9937106918,4.9493670886,0.0062893082
8254400,beastcoast,154,5.6868599363,4.3652057251,0.9935064935,4.9738562092,0.0064935065
9758040,runa,146,8.0035217929,5.5984986852,0.9931506849,4.9586206897,0.0068493151
7917893,interactivephilippines,140,6.7719230884,3.8906806551,0.9857142857,4.8920863309,0.0142857143
7422789,9pandas,133,6.182434766,4.7014108116,0.992481203,4.9166666667,0.007518797
9420570,quantum,131,6.2626795538,4.3602472749,0.9694656489,4.7461538462,0.0305343511
9256405,levelup,129,6.3985557507,4.7737006431,0.9224806202,4.53125,0.0775193798
9449748,dms,126,7.2312998593,5.3002157488,0.9920634921,4.856,0.0079365079
9538558,themongolz,126,7.4195316092,4.7187690164,0.9841269841,4.92,0.0158730159
9790546,teamnextlevel,117,5.5096858728,2.8214455808,0.9914529915,4.9655172414,0.0085470085
9664713,teamlynx,114,7.7434957472,4.9542058096,0.9824561404,4.8938053097,0.0175438596
1838315,secret,111,6.5126065856,4.8943558056,0.954954955,4.8363636364,0.045045045
8574561,azureray,111,5.5265149505,4.2665702435,0.981981982,4.9181818182,0.018018018
9729720,virtuspro,106,5.880216768,4.6429569685,0.9811320755,4.8666666667,0.0188679245
9450071,fusionesports,103,7.2860894643,5.8687562846,0.9902912621,4.9019607843,0.0097087379
8494848,winterbear,100,7.6674554363,5.2434827173,0.94,4.595959596,0.06
8724984,virtuspro,97,6.2283979892,4.3514921936,0.9793814433,4.90625,0.0206185567
9216247,teamklee,94,6.9141502736,5.6484267807,0.9787234043,4.8494623656,0.0212765957
9671463,applecitygang,94,9.6807289626,7.1511042556,0.9893617021,4.9462365591,0.0106382979
9098294,carstensz,93,5.4575427371,3.4340461241,0.935483871,4.4673913043,0.064516129
9634742,chimera,87,6.5480851527,5.6091699526,0.9885057471,4.976744186,0.0114942529
8605863,entity,85,5.0540672472,3.431721237,0.9882352941,4.9761904762,0.0117647059
9381678,apexgenesis,85,7.0406964291,5.4512838327,0.9882352941,4.9404761905,0.0117647059
9895247,kalmychata,83,9.3717548292,7.0385493294,0.9759036145,4.8658536585,0.0240963855
8375259,infinity,80,6.828520667,4.8086034315,0.9375,4.7341772152,0.0625
9466943,tea,80,8.8297234931,6.5421840269,0.9875,4.9240506329,0.0125
9545759,waska,80,6.6307337903,5.5602372636,0.975,4.8987341772,0.025
9546449,yangongalacticos,79,7.1497962519,5.0318510601,0.9873417722,4.9230769231,0.0126582278
8894818,psgquest,78,6.3023509041,4.1889886289,0.9871794872,5.0,0.0128205128
9530947,palianytsia,75,7.4493927115,6.31744662,0.9866666667,4.8378378378,0.0133333333
9572608,bluesubmarine,74,7.4162153376,4.7343243703,0.9864864865,4.904109589,0.0135135135
8737621,lavaesports,68,6.0301743952,3.4782611775,0.9264705882,4.5373134328,0.0735294118
9360651,dandelions,67,7.5132285467,4.8408875649,0.9850746269,4.9545454545,0.0149253731
9872667,pipsqueak+4,65,9.4215270531,7.4709138159,0.9692307692,4.828125,0.0307692308
9691969,teamnemesis,62,7.1573302609,5.242050544,0.9516129032,4.8032786885,0.0483870968
5,g2xig,61,6.0358812803,3.6781157179,0.9836065574,5.0,0.0163934426
9080405,teamzero,61,5.7128967753,4.6048273705,0.9836065574,4.9833333333,0.0163934426
9366989,asakura,60,6.6074252479,5.3607421178,0.9666666667,4.7627118644,0.0333333333
9814008,espoiled,60,7.0663219856,4.7503603002,0.9833333333,4.8644067797,0.0166666667
8718594,youngblood,58,9.0585359468,7.1454450953,0.9827586207,4.9824561404,0.0172413793
9081007,sibeteam,55,7.9026067233,3.7321376531,0.9818181818,4.8888888889,0.0181818182
9432799,cuyese-sports,55,5.7280441064,5.2629811359,0.9636363636,4.8333333333,0.0363636364
9280056,justbetter,54,8.1772254322,5.1939696801,0.962962963,4.8867924528,0.037037037
9600432,call911,54,6.806438622,4.9437077039,0.9814814815,4.8301886792,0.0185185185
9741253,edge,54,6.7631992611,4.7180076472,0.9814814815,4.9622641509,0.0185185185
15,lgd,53,6.3540502035,4.8691043058,0.9811320755,5.0,0.0188679245
9823272,yandex,53,6.5079875448,4.2797461789,0.9622641509,4.9423076923,0.0377358491
9928746,mostwanted,51,8.8248790953,6.9608090192,0.9803921569,4.84,0.0196078431
9131584,bb,48,4.5083533707,2.7586608146,0.9791666667,4.9574468085,0.0208333333
9651814,banyapivosamogon,46,6.9405322688,5.2925810171,0.9782608696,4.9111111111,0.0217391304
9593627,titan,45,6.5313691575,4.0766117389,0.9777777778,4.9090909091,0.0222222222
9449532,kalmychata,44,6.7666167966,4.9497824396,0.9772727273,4.9302325581,0.0227272727
8944230,yangongalacticos,42,7.3062751885,6.3500547395,0.9761904762,4.9268292683,0.0238095238
9368468,twistedminds,42,7.2908481697,5.710954266,0.9761904762,4.9512195122,0.0238095238
9586396,caterpillar,42,8.0635526923,7.1257887103,0.9523809524,4.7804878049,0.0476190476
9461007,evilrabbit,41,6.0686040486,5.3772292747,0.8780487805,4.65,0.1219512195
9766941,flipstertalon,41,6.5768508253,3.8644005928,0.9756097561,5.0,0.0243902439
9081369,infamousgaming,40,7.7490722365,4.1977288854,0.925,4.5897435897,0.075
9872558,vpprodigy,40,7.3441468591,3.7484140043,0.95,4.7948717949,0.05
9303665,NextUp,39,6.5328240192,5.2973149502,0.9487179487,4.8684210526,0.0512820513
9677721,aimpossible,39,4.4188642644,1.7667162754,0.9230769231,4.5789473684,0.0769230769
9538207,mythavenuegaming,38,9.0314264675,7.8595554191,0.9473684211,4.6486486486,0.0526315789
9798854,kalmychata,38,5.1260399396,3.5396324484,0.9473684211,4.6756756757,0.0526315789
9678463,estarbacks,36,6.1995896311,4.1558814085,0.8888888889,4.6285714286,0.1111111111
9828897,REKONIX,36,6.1413672187,3.8146998435,0.9722222222,4.9714285714,0.0277777778
9850944,kallmychata,35,6.349053127,4.3146214819,0.9714285714,4.9117647059,0.0285714286
9499402,essence,34,9.095804455,7.8516307405,0.8529411765,4.3333333333,0.1470588235
9635124,m80,34,6.6700933672,4.0849607635,0.9705882353,4.9696969697,0.0294117647
9678064,moodengwarriors,33,6.9588496521,6.0696360807,0.9696969697,5.0,0.0303030303
9814016,levelup,33,4.192706239,2.0826417365,0.9696969697,4.84375,0.0303030303
9710443,allstars,32,7.8437534375,5.2007561425,0.9375,4.4838709677,0.0625
9677513,excel,31,7.1290264447,6.158261339,0.9677419355,4.8666666667,0.0322580645
9716756,endgame,29,7.0597351281,2.8473752039,0.9655172414,4.9642857143,0.0344827586
9717281,bikinibottom,28,13.0847741975,9.4189871809,0.9642857143,4.8888888889,0.0357142857
9824702,pvision,28,4.5460095827,2.7794038497,0.9642857143,5.0,0.0357142857
9248240,bocajuniors,27,7.0952122221,6.7072044684,0.962962963,5.0,0.037037037
9646485,jigglin,27,8.4706667377,7.7705938329,0.962962963,4.9230769231,0.037037037
9780014,espoiled,27,5.073817487,3.8802872972,0.962962963,5.0,0.037037037
9798195,cybergoose,27,3.5353399932,1.9806574536,0.962962963,5.0,0.037037037
9885130,perúrejects,27,9.6384401737,7.7848015027,0.8888888889,4.6923076923,0.1111111111
9895392,virtuspro,27,9.3230543652,6.3451193983,0.962962963,5.0,0.037037037
9753675,20twice,26,8.1764092762,6.9535534838,0.9230769231,4.56,0.0769230769
9780800,oglatam,26,5.7682143584,4.6926846459,0.9615384615,4.96,0.0384615385
111474,alliance,24,6.280024014,3.8221652918,0.9583333333,4.9565217391,0.0416666667
9433140,teamtürkiye,24,7.6221145216,7.2400269901,0.9583333333,4.7391304348,0.0416666667
9641323,y5,24,6.053237417,3.509946311,0.9583333333,4.8260869565,0.0416666667
9865903,veroja,24,7.5607497214,6.0869717756,0.9583333333,4.9565217391,0.0416666667
8697185,fantasygaming,23,7.0023042461,4.9940589481,0.9130434783,4.5909090909,0.0869565217
9664724,ITB.Shuffle,23,9.3464943344,5.1826586863,0.9565217391,5.0,0.0434782609
9467430,blacklistinternational,22,6.5529044149,5.2062087521,0.9545454545,5.0,0.0454545455
9948367,spirit academy,22,6.5294760037,3.5531539874,0.9545454545,5.0,0.0454545455
9530783,hryvnia,21,5.2294479844,4.074880613,0.8095238095,4.05,0.1904761905
9699533,mosquitoclan,21,8.1167962319,5.6765498442,0.9523809524,4.75,0.0476190476
9593895,gaozu,20,7.2961282939,5.3723374091,0.95,5.0,0.05
9470838,infinity,19,6.8766944167,6.5283534718,0.9473684211,5.0,0.0526315789
8214850,bleed,18,3.9609213796,1.8962113936,0.9444444444,5.0,0.0555555556
9885667,teamtea,18,9.392322699,6.9178544726,0.8888888889,4.8235294118,0.1111111111
9781353,castawake,17,5.3619871775,4.5558883673,0.9411764706,4.8125,0.0588235294
9602168,bladebreakers,16,12.8207111904,9.5357898846,0.75,4.2,0.25
9844911,odium,15,5.2325803558,1.3363948535,0.9333333333,5.0,0.0666666667
9504575,fivebeavers,14,10.6991988732,12.1097269962,0.9285714286,4.8461538462,0.0714285714
9759367,wwteam,14,9.7811822028,7.6948350138,0.9285714286,4.7692307692,0.0714285714
9964962,gamerlegion,13,6.9703419558,5.1263208371,0.9230769231,5.0,0.0769230769
9005019,ihc,12,2.4097132877,1.5759555341,0.9166666667,4.8181818182,0.0833333333
9247046,darkhorse,12,6.2508881912,4.2600760678,0.9166666667,4.7272727273,0.0833333333
9352634,acatsuki,12,4.9057715326,1.6533161739,0.75,4.2727272727,0.25
9730797,paseka,12,6.5893472788,6.0336272172,0.9166666667,5.0,0.0833333333
9448501,turtle,11,3.1798164585,3.9618539746,0.9090909091,4.8,0.0909090909
726228,vici,10,9.4002515287,7.8383706633,0.8,4.4444444444,0.2
9906058,balaclavas,10,13.5108831174,10.9600198918,0.9,5.0,0.1
9255706,aurora.1xbet,9,4.2715680262,2.1071537507,0.8888888889,5.0,0.1111111111
9600331,zettagames,9,7.8245538494,6.3664171816,0.8888888889,4.625,0.1111111111
9886393,navijunior,9,9.0706279854,9.8182610579,0.8888888889,4.875,0.1111111111
8668460,blacklistrivalry,8,5.4422344133,2.1042875723,0.875,5.0,0.125
8971308,x5gaming,8,4.4098836735,1.9226955495,0.75,3.8571428571,0.25
9828954,natusvincere,8,5.5978943085,3.7703485974,0.875,5.0,0.125
9906663,robloxmafia,8,13.5501483209,10.7556311446,0.875,4.8571428571,0.125
9388293,4amigos,7,3.9342968485,1.6224507329,0.8571428571,5.0,0.1428571429
9445138,Twisted Minds,7,4.1673740376,2.9786644556,0.8571428571,5.0,0.1428571429
9601305,teammansaf,7,2.2990320182,1.7694268914,0.8571428571,4.6666666667,0.1428571429
9885310,roar,7,8.2667794473,9.4117705971,0.8571428571,5.0,0.1428571429
8769201,havu,6,5.4120859675,2.6463347378,0.8333333333,4.6,0.1666666667
9658086,thebug,5,7.0023114917,5.6216568426,0.8,5.0,0.2
9815118,teamhryvnia,5,1.1656630045,1.389444397,0.8,5.0,0.2
9818935,kalmychataa,5,1.0865632987,0.9030648025,0.8,4.25,0.2
9895544,innercircle,5,18.841289537,17.2371095527,0.8,4.75,0.2
9545732,teamn1ntendo,4,5.5209079156,5.5831575548,0.75,5.0,0.25
9634632,essence,4,3.9605159877,2.4728511449,0.75,5.0,0.25
9723691,cdub,4,6.7210072923,5.5754466973,0.5,3.6666666667,0.5
9724713,ToLight,4,6.446862443,7.1803112276,0.5,3.3333333333,0.5
8713814,aurum,3,1.8702228697,1.0186271481,0.6666666667,4.5,0.3333333333
8718483,levelup,3,0.797198339,0.50382288,0.6666666667,5.0,0.3333333333
9824144,quantum,2,6.2543204352,6.2543204352,0.5,5.0,0.5
7979851,akatsuki,1,1.4916793114,1.4916793114,0.0,,1.0
9103923,bikinibottom,1,8.770652155,8.770652155,0.0,,1.0
9279457,vpprodigy,1,1.0186271481,1.0186271481,0.0,,1.0
9425620,belgium,1,3.5855698061,3.5855698061,0.0,,1.0
9488084,shopifyrebellion,1,0.4500071834,0.4500071834,0.0,,1.0
9587118,cska,1,14.699884051,14.699884051,0.0,,1.0
